Gender,Age,Height (inches),Weight (lbs),How would you describe your weight?,,
Male,19,71,160,About the right weight,,
Female,16,65,100,Slightly underweight,,
Female,17,68,160,Slightly overweight,,
Male,16,64,145,About the right weight,,
Male,15,61,115,About the right weight,,
Male,16,72,145,About the right weight,,
Female,15,64,120,About the right weight,,
Male,17,70,220,Slightly overweight,,
Female,17,67,121,About the right weight,,
Female,16,63,108,About the right weight,,
Female,16,68,150,About the right weight,,
Male,19,70,210,Slightly overweight,,
Female,19,66,115,About the right weight,,
Male,19,73,190,Slightly overweight,,
Female,19,62,110,About the right weight,,
Male,16,67,125,Slightly underweight,,
Male,18,67,160,About the right weight,,
Male,16,70,168,About the right weight,,
Female,19,66,145,Slightly overweight,,
Female,18,64,140,About the right weight,,
Male,18,74,180,About the right weight,,
Male,16,74,145,About the right weight,,
Male,16,69,250,Slightly overweight,,
Male,17,62,150,About the right weight,,
Male,16,74,120,Slightly underweight,,
Male,19,70,200,Slightly overweight,,
Female,18,67,140,About the right weight,,
Male,18,69,167,About the right weight,,
Male,19,72,190,About the right weight,,
Female,17,63,135,Slightly overweight,,
Female,14,62,110,About the right weight,,
Female,15,69,130,About the right weight,,
Male,19,75,210,About the right weight,,
Female,19,72,170,Slightly overweight,,
Male,16,73,155,About the right weight,,
Male,15,72,120,Slightly underweight,,
Female,16,67,100,Slightly underweight,,
Female,16,65,120,About the right weight,,
Female,19,64,130,About the right weight,,
Female,18,67,180,Very overweight,,
Female,16,61,120,Slightly overweight,,
Female,16,63,105,About the right weight,,
Female,19,64,124,About the right weight,,
Male,15,67,135,Slightly underweight,,
Male,17,66,180,About the right weight,,
Female,16,67,210,Slightly overweight,,
Male,19,73,167,About the right weight,,
Male,18,72,160,About the right weight,,
Female,19,71,170,About the right weight,,
Male,18,75,250,Slightly overweight,,
Male,16,75,170,About the right weight,,
Female,16,62,140,Very overweight,,
Male,15,72,200,About the right weight,,
Female,18,64,132,About the right weight,,
Female,19,63,120,About the right weight,,
Male,16,66,125,About the right weight,,
Male,19,69,145,Slightly underweight,,
Female,16,67,135,About the right weight,,
Male,15,64,121,About the right weight,,
Female,15,62,107,About the right weight,,
Male,18,70,160,About the right weight,,
Male,15,65,125,About the right weight,,
Male,17,70,150,About the right weight,,
Male,16,72,195,Slightly overweight,,
Male,15,68,140,About the right weight,,
Female,16,66,-2,Very overweight,,
Male,18,73,180,About the right weight,,
Female,16,67,120,About the right weight,,
Male,19,67,150,About the right weight,,
Male,19,70,162,About the right weight,,
Male,16,75,188,About the right weight,,
Female,16,60,117,Very underweight,,
Male,18,73,165,Slightly underweight,,
Male,18,72,230,Slightly overweight,,
Female,19,66,120,About the right weight,,
Female,19,64,112,About the right weight,,
Male,15,71,180,Slightly overweight,,
Female,16,64,120,Slightly overweight,,
Male,15,67,145,Slightly overweight,,
Male,18,72,183,Slightly overweight,,
Male,17,72,250,Slightly overweight,,
Male,16,73,175,Slightly overweight,,
Female,16,68,150,Slightly overweight,,
Male,19,73,180,About the right weight,,
Male,16,76,168,About the right weight,,
Male,15,68,170,About the right weight,,
Female,16,63,115,About the right weight,,
Male,16,69,215,Very overweight,,
Female,18,67,230,Slightly overweight,,
Male,17,69,135,About the right weight,,
Female,18,63,115,About the right weight,,
Male,18,71,160,About the right weight,,
Female,19,63,110,Slightly underweight,,
Female,16,63,125,Slightly overweight,,
Female,15,63,120,Slightly overweight,,
Male,15,68,145,Slightly underweight,,
Male,17,68,200,Slightly overweight,,
Female,16,57,115,About the right weight,,
Male,16,68,145,About the right weight,,
Female,15,62,140,About the right weight,,
Male,16,69,200,Slightly overweight,,
Male,19,74,162,Slightly underweight,,
Female,18,68,150,About the right weight,,
Male,17,73,205,About the right weight,,
Male,18,74,195,About the right weight,,
Male,19,66,145,About the right weight,,
Female,19,62,125,About the right weight,,
Female,18,66,125,About the right weight,,
Male,15,69,110,About the right weight,,
Female,18,66,125,About the right weight,,
Female,19,65,150,Slightly overweight,,
Male,18,67,175,Slightly overweight,,
Female,15,67,130,About the right weight,,
Female,18,63,120,About the right weight,,
Female,17,59,142,Slightly overweight,,
Male,17,68,145,About the right weight,,
Male,15,68,180,Very overweight,,
Male,16,63,140,About the right weight,,
Female,15,64,125,About the right weight,,
Male,16,68,150,About the right weight,,
Male,18,71,145,About the right weight,,
Male,19,71,155,About the right weight,,
Female,17,64,135,About the right weight,,
Female,15,61,110,About the right weight,,
Female,18,64,-2,About the right weight,,
Male,15,69,162,About the right weight,,
Male,16,73,155,Slightly underweight,,
Female,17,62,110,About the right weight,,
Male,19,72,160,About the right weight,,
Male,18,73,220,Slightly overweight,,
Female,15,64,120,About the right weight,,
Female,19,66,115,Slightly underweight,,
Male,16,73,172,Slightly overweight,,
Male,15,70,152,About the right weight,,
Male,15,68,138,About the right weight,,
Male,15,62,162,Very overweight,,
Female,18,64,105,Slightly underweight,,
Male,16,68,128,About the right weight,,
Male,15,68,146,About the right weight,,
Female,17,71,190,Slightly overweight,,
Female,19,67,165,Slightly overweight,,
Male,16,66,190,Slightly overweight,,
Male,18,68,165,About the right weight,,
Female,17,70,130,About the right weight,,
Female,15,67,120,About the right weight,,
Female,17,68,190,Slightly overweight,,
Female,16,66,155,Slightly overweight,,
Female,19,64,133,About the right weight,,
Male,15,66,115,About the right weight,,
Female,18,65,125,About the right weight,,
Male,16,70,155,About the right weight,,
Male,18,75,200,About the right weight,,
Male,16,67,160,Slightly overweight,,
Female,18,67,125,About the right weight,,
Female,14,66,115,Slightly overweight,,
Male,19,71,197,About the right weight,,
Male,17,69,135,About the right weight,,
Female,17,67,115,Slightly underweight,,
Female,18,65,155,About the right weight,,
Male,19,74,270,Very underweight,,
Male,16,63,135,Very underweight,,
Female,16,62,110,About the right weight,,
Female,17,65,125,About the right weight,,
Male,17,75,215,Slightly overweight,,
Male,16,70,143,About the right weight,,
Male,17,72,145,Slightly underweight,,
Female,16,64,140,About the right weight,,
Male,15,71,195,About the right weight,,
Female,18,70,145,About the right weight,,
Male,19,70,200,Slightly overweight,,
Male,19,65,130,About the right weight,,
Female,18,63,250,Very underweight,,
Male,16,71,270,Slightly overweight,,
Female,15,63,170,Slightly overweight,,
Male,17,80,170,Slightly underweight,,
Female,18,69,135,About the right weight,,
Male,18,72,165,About the right weight,,
Female,19,64,120,About the right weight,,
Male,19,67,235,Slightly overweight,,
Male,19,71,187,About the right weight,,
Male,18,70,205,Slightly overweight,,
Female,17,62,110,About the right weight,,
Female,18,65,135,About the right weight,,
Female,16,64,121,About the right weight,,
Male,18,70,163,About the right weight,,
Male,15,72,153,About the right weight,,
Male,19,69,20,Very overweight,,
Female,16,67,110,Slightly underweight,,
Female,16,63,120,Slightly overweight,,
Male,16,74,182,About the right weight,,
Male,16,66,135,About the right weight,,
Male,17,71,155,About the right weight,,
Male,16,67,230,Slightly overweight,,
Female,15,72,235,Slightly overweight,,
Male,17,72,135,About the right weight,,
Female,17,64,120,About the right weight,,
Male,18,72,295,Very overweight,,
Male,15,68,180,Slightly overweight,,
Female,19,64,170,Slightly overweight,,
Male,15,58,145,About the right weight,,
Male,15,66,160,About the right weight,,
Female,15,67,185,Slightly overweight,,
Male,15,73,150,About the right weight,,
Female,17,66,147,About the right weight,,
Male,17,69,170,About the right weight,,
Male,18,69,135,About the right weight,,
Male,18,68,175,Slightly underweight,,
Male,16,64,180,Slightly overweight,,
Female,15,67,130,About the right weight,,
Male,14,68,145,Slightly overweight,,
Female,16,67,130,Slightly underweight,,
Male,14,71,150,About the right weight,,
Male,15,70,150,About the right weight,,
Male,17,77,185,Slightly underweight,,
Male,14,69,130,About the right weight,,
Female,18,60,120,Slightly overweight,,
Female,17,61,100,Slightly underweight,,
Male,15,70,155,Slightly underweight,,
Female,19,60,107,Slightly underweight,,
Male,18,71,155,Very underweight,,
Male,16,71,140,About the right weight,,
Female,17,70,160,,,
Female,15,69,110,,,
Male,19,69,185,Slightly overweight,,
Female,16,67,145,Slightly overweight,,
Female,18,63,150,About the right weight,,
Female,17,66,135,Slightly overweight,,
Female,19,73,150,About the right weight,,
Male,19,69,150,Slightly underweight,,
Female,15,63,120,About the right weight,,
Female,18,62,160,Slightly overweight,,
Male,16,64,170,About the right weight,,
Male,14,68,122,About the right weight,,
Female,19,66,125,About the right weight,,
Male,17,73,175,About the right weight,,
Female,15,63,116,Slightly overweight,,
Male,17,68,150,About the right weight,,
Male,15,67,165,Slightly overweight,,
Female,17,64,114,About the right weight,,
Female,16,65,194,Very overweight,,
Male,16,69,150,About the right weight,,
Female,18,71,145,Slightly overweight,,
Male,16,69,150,About the right weight,,
Male,17,71,160,About the right weight,,
Female,18,66,153,Slightly overweight,,
Female,17,68,137,Slightly underweight,,
Male,18,73,170,About the right weight,,
Male,15,67,115,About the right weight,,
Female,20,62,135,Slightly overweight,,
Female,15,67,180,Very overweight,,
Male,15,70,134,Slightly underweight,,
Male,16,72,200,About the right weight,,
Female,18,67,105,About the right weight,,
Female,18,62,120,About the right weight,,
Female,18,59,117,About the right weight,,
Male,18,69,165,Slightly overweight,,
Male,18,68,155,About the right weight,,
Female,16,66,130,About the right weight,,
Female,16,66,145,About the right weight,,
Female,19,65,122,About the right weight,,
Female,18,64,110,About the right weight,,
Male,16,67,140,About the right weight,,
Female,15,65,130,About the right weight,,
Female,16,63,118,Slightly overweight,,
Female,18,67,115,Slightly underweight,,
Female,16,64,105,Slightly underweight,,
Male,15,70,140,About the right weight,,
Male,19,72,155,Slightly underweight,,
Female,19,61,115,About the right weight,,
Male,15,69,280,Slightly overweight,,
Female,15,68,125,About the right weight,,
Male,18,73,165,About the right weight,,
Female,15,62,180,Slightly overweight,,
Male,19,72,190,About the right weight,,
Female,17,66,165,Very underweight,,
Female,15,65,125,About the right weight,,
Female,19,67,120,About the right weight,,
Male,18,72,185,Slightly overweight,,
Male,15,64,125,Slightly overweight,,
Female,19,71,195,Slightly overweight,,
Male,16,70,235,Very overweight,,
Male,19,71,160,,,
Male,15,73,155,About the right weight,,
Male,19,70,178,Slightly underweight,,
Male,17,74,202,About the right weight,,
Male,18,68,190,Slightly overweight,,
Male,17,72,215,Slightly overweight,,
Male,18,72,150,About the right weight,,
Female,15,72,150,Slightly overweight,,
Female,15,68,145,About the right weight,,
Male,18,68,135,Slightly underweight,,
Male,16,66,115,About the right weight,,
Female,20,70,135,Slightly overweight,,
Male,15,72,155,About the right weight,,
Female,19,67,125,About the right weight,,
Male,16,70,185,Slightly overweight,,
Female,18,64,105,About the right weight,,
Male,19,68,180,About the right weight,,
Male,16,68,160,About the right weight,,
Female,18,67,145,About the right weight,,
Female,16,63,120,About the right weight,,
Male,16,68,122,Slightly underweight,,
Female,15,64,130,About the right weight,,
Male,17,72,150,Slightly underweight,,
Male,15,74,147,About the right weight,,
Male,15,70,128,Slightly underweight,,
Male,19,74,155,Slightly underweight,,
Male,17,72,152,About the right weight,,
Female,17,62,140,Slightly overweight,,
Male,19,71,160,Slightly underweight,,
Female,15,65,125,About the right weight,,
Female,16,64,135,About the right weight,,
Female,18,66,235,Very overweight,,
Female,16,66,-2,Very overweight,,
Male,15,75,175,About the right weight,,
Male,17,66,145,Slightly overweight,,
Female,18,63,130,About the right weight,,
Female,17,66,135,Slightly overweight,,
Female,18,67,140,About the right weight,,
Male,15,69,140,Slightly underweight,,
Male,16,70,155,About the right weight,,
Male,19,73,160,Slightly underweight,,
Male,18,70,140,About the right weight,,
Female,16,61,110,About the right weight,,
Female,18,64,115,About the right weight,,
Male,16,68,130,About the right weight,,
Male,17,76,165,About the right weight,,
Female,16,65,125,About the right weight,,
Male,16,74,180,Slightly underweight,,
Male,17,72,218,About the right weight,,
Female,19,69,147,About the right weight,,
Female,18,66,160,About the right weight,,
Male,18,74,182,About the right weight,,
Male,15,71,186,About the right weight,,
Female,15,64,-2,Slightly overweight,,
Female,20,63,165,Slightly underweight,,
Female,15,66,150,Slightly overweight,,
Female,15,69,170,Slightly overweight,,
Female,18,63,225,Very overweight,,
Female,18,63,165,Slightly overweight,,
Female,17,61,130,About the right weight,,
Male,17,72,225,Slightly overweight,,
Female,15,63,130,Very overweight,,
Male,19,72,248,Slightly overweight,,
Male,19,71,185,About the right weight,,
Female,17,59,117,About the right weight,,
Male,16,68,122,About the right weight,,
Male,17,68,140,About the right weight,,
Female,18,66,195,Very overweight,,
Female,17,65,160,Slightly overweight,,
Male,15,67,150,About the right weight,,
Male,19,69,145,About the right weight,,
Male,16,77,150,Slightly underweight,,
Male,18,70,135,About the right weight,,
Male,16,67,115,Slightly underweight,,
Female,15,64,-2,Very overweight,,
Female,16,64,120,About the right weight,,
Female,17,68,117,Slightly overweight,,
Male,17,73,155,Slightly underweight,,
Male,16,67,125,Slightly overweight,,
Male,15,66,135,About the right weight,,
Male,18,74,245,Slightly overweight,,
Female,15,65,135,Slightly overweight,,
Female,17,67,105,Slightly underweight,,
Male,20,74,188,About the right weight,,
Female,15,64,110,About the right weight,,
Male,17,70,165,About the right weight,,
Male,16,74,165,About the right weight,,
Male,19,77,195,Slightly underweight,,
Male,18,71,140,About the right weight,,
Female,18,65,142,About the right weight,,
Male,15,71,280,Slightly overweight,,
Female,16,64,120,About the right weight,,
Female,15,62,110,About the right weight,,
Male,19,71,185,About the right weight,,
Female,16,62,105,About the right weight,,
Male,18,69,160,Slightly underweight,,
Female,20,63,115,Slightly overweight,,
Male,16,72,150,About the right weight,,
Male,19,68,126,Slightly underweight,,
Male,18,72,165,Slightly underweight,,
Female,19,67,130,About the right weight,,
Female,17,62,135,About the right weight,,
Male,19,71,135,Slightly underweight,,
Female,18,60,108,About the right weight,,
Female,18,83,200,Slightly overweight,,
Female,18,59,150,Slightly overweight,,
Male,16,73,230,Slightly overweight,,
Male,17,69,244,Very overweight,,
Female,16,63,135,Slightly overweight,,
Male,17,71,135,Very underweight,,
Female,19,68,160,Slightly overweight,,
Male,17,70,145,About the right weight,,
Male,15,68,120,Slightly underweight,,
Male,18,68,140,About the right weight,,
Male,16,70,142,Slightly overweight,,
Female,14,66,130,About the right weight,,
Female,16,66,128,About the right weight,,
Female,16,65,150,Slightly overweight,,
Male,18,71,150,Slightly underweight,,
Male,19,70,149,About the right weight,,
Female,18,67,125,Slightly underweight,,
Female,18,63,130,Slightly overweight,,
Female,15,62,115,About the right weight,,
Male,17,70,205,Slightly overweight,,
Female,15,65,107,About the right weight,,
Female,17,62,116,Slightly overweight,,
Male,17,63,145,Slightly underweight,,
Male,18,69,175,About the right weight,,
Male,16,69,150,About the right weight,,
Female,18,65,140,About the right weight,,
Male,17,71,165,Slightly underweight,,
Male,15,68,150,About the right weight,,
Male,17,72,155,About the right weight,,
Male,19,70,145,Slightly underweight,,
Male,18,70,200,Slightly overweight,,
Male,15,62,102,About the right weight,,
Female,17,63,117,About the right weight,,
Female,16,65,115,About the right weight,,
Male,18,67,135,About the right weight,,
Female,16,62,183,Slightly overweight,,
Female,15,66,200,Slightly overweight,,
Male,17,72,172,About the right weight,,
Female,19,68,135,Slightly overweight,,
Male,17,71,180,About the right weight,,
Male,14,70,130,About the right weight,,
Female,18,69,138,About the right weight,,
Female,16,65,135,Slightly overweight,,
Female,18,62,115,About the right weight,,
Male,18,71,145,About the right weight,,
Male,16,71,135,Slightly underweight,,
Male,18,71,155,Slightly underweight,,
Male,19,70,165,About the right weight,,
Male,17,70,170,About the right weight,,
Male,18,72,170,About the right weight,,
Male,15,68,125,About the right weight,,
Male,17,67,145,About the right weight,,
Male,16,69,129,Slightly underweight,,
Male,19,68,225,Slightly overweight,,
Male,15,69,128,Slightly underweight,,
Female,19,66,123,About the right weight,,
Female,19,68,200,Slightly overweight,,
Male,15,67,180,Slightly overweight,,
Female,17,64,160,Slightly overweight,,
Male,16,70,160,About the right weight,,
Male,16,63,115,Slightly underweight,,
Male,16,72,160,About the right weight,,
Male,15,71,140,About the right weight,,
Male,16,71,140,Slightly underweight,,
Male,16,66,153,Slightly overweight,,
Female,16,63,115,About the right weight,,
Male,15,74,180,Slightly overweight,,
Male,18,71,210,About the right weight,,
Male,15,64,122,Slightly underweight,,
Female,18,63,130,About the right weight,,
Male,16,62,140,Slightly overweight,,
Male,18,67,170,Very overweight,,
Female,16,61,105,About the right weight,,
Female,17,65,125,About the right weight,,
Female,15,66,-2,About the right weight,,
Male,18,73,210,Slightly overweight,,
Female,17,65,135,Slightly overweight,,
Female,15,62,115,About the right weight,,
Female,19,64,127,About the right weight,,
Male,18,69,170,About the right weight,,
Male,15,64,125,About the right weight,,
Male,18,69,165,About the right weight,,
Male,17,71,135,Slightly underweight,,
Male,19,71,151,About the right weight,,
Male,18,73,185,About the right weight,,
Male,16,69,160,Slightly overweight,,
Female,15,57,85,Slightly underweight,,
Male,19,67,140,About the right weight,,
Male,16,71,179,About the right weight,,
Female,17,63,117,About the right weight,,
Male,15,65,150,About the right weight,,
Female,17,62,113,Very underweight,,
Male,15,65,143,About the right weight,,
Male,17,67,135,Slightly underweight,,
Female,17,63,135,Slightly overweight,,
Female,18,66,130,About the right weight,,
Male,17,76,215,Slightly overweight,,
Male,15,66,175,Slightly overweight,,
Male,19,67,200,Slightly overweight,,
Male,16,67,140,About the right weight,,
Female,18,63,140,Slightly overweight,,
Male,17,74,230,Slightly overweight,,
Male,16,70,141,About the right weight,,
Female,15,65,120,About the right weight,,
Male,18,65,120,Slightly underweight,,
Male,15,72,192,About the right weight,,
Female,17,61,143,Slightly underweight,,
Female,18,61,124,About the right weight,,
Male,15,69,195,Slightly underweight,,
Female,18,62,120,About the right weight,,
Female,19,69,160,Slightly overweight,,
Male,17,72,160,About the right weight,,
Male,16,68,145,About the right weight,,
Male,18,71,205,Slightly overweight,,
Male,19,72,185,About the right weight,,
Female,19,67,155,Slightly overweight,,
Male,18,72,225,Slightly overweight,,
Male,16,68,160,About the right weight,,
Male,18,70,150,About the right weight,,
Female,15,62,145,About the right weight,,
Female,15,64,150,Slightly overweight,,
Male,19,70,135,Slightly underweight,,
Male,16,66,130,Slightly overweight,,
Male,17,68,150,About the right weight,,
Male,16,65,140,About the right weight,,
Female,19,62,128,About the right weight,,
Male,17,71,158,About the right weight,,
Female,15,62,100,About the right weight,,
Male,16,73,148,Slightly underweight,,
Male,15,62,109,About the right weight,,
Male,19,71,155,Slightly underweight,,
Female,16,63,120,About the right weight,,
Male,18,74,183,Slightly underweight,,
Male,17,70,140,About the right weight,,
Male,15,72,164,About the right weight,,
Male,17,76,150,Slightly underweight,,
Male,17,66,141,About the right weight,,
Female,15,62,140,About the right weight,,
Female,19,68,180,Slightly overweight,,
Male,17,75,218,Slightly overweight,,
Female,19,64,115,About the right weight,,
Female,17,61,111,About the right weight,,
Female,15,62,130,About the right weight,,
Female,18,66,150,About the right weight,,
Female,17,66,124,About the right weight,,
Male,16,72,240,Very overweight,,
Male,18,75,170,About the right weight,,
Male,17,69,170,About the right weight,,
Male,17,72,135,Slightly underweight,,
Male,15,67,145,About the right weight,,
Male,17,68,125,Slightly underweight,,
Female,15,63,105,About the right weight,,
Male,18,72,140,Slightly underweight,,
Female,16,70,135,About the right weight,,
Female,17,61,110,Very overweight,,
Male,15,61,153,Slightly overweight,,
Female,19,65,160,About the right weight,,
Female,17,67,190,Slightly overweight,,
Male,15,64,101,Slightly underweight,,
Male,18,75,175,Slightly underweight,,
Female,16,69,135,About the right weight,,
Female,15,61,100,About the right weight,,
Female,18,70,145,About the right weight,,
Male,18,70,196,About the right weight,,
Female,15,65,107,About the right weight,,
Female,16,67,130,Slightly overweight,,
Male,19,70,160,About the right weight,,
Male,17,71,185,Slightly overweight,,
Female,14,62,-2,Slightly overweight,,
Male,19,72,195,About the right weight,,
Female,18,60,130,About the right weight,,
Female,19,58,135,Slightly overweight,,
Male,18,69,155,About the right weight,,
Female,15,64,125,Very overweight,,
Male,16,66,135,About the right weight,,
Male,15,64,152,About the right weight,,
Male,16,71,190,Slightly overweight,,
Male,16,70,160,About the right weight,,
Female,16,69,140,About the right weight,,
Male,15,69,200,About the right weight,,
Female,18,65,130,Slightly overweight,,
Male,19,71,139,,,
Female,17,64,115,,,
Male,16,70,155,Slightly overweight,,
Male,17,69,120,About the right weight,,
Male,18,72,150,About the right weight,,
Male,18,69,137,Slightly underweight,,
Male,17,66,130,About the right weight,,
Male,15,71,142,About the right weight,,
Male,19,62,140,About the right weight,,
Male,16,72,165,About the right weight,,
Female,19,69,146,About the right weight,,
Male,16,70,140,Slightly overweight,,
Female,15,65,106,Slightly underweight,,
Male,15,70,153,Slightly overweight,,
Male,18,68,200,Slightly overweight,,
Male,18,72,162,Slightly underweight,,
Male,18,68,175,Slightly overweight,,
Male,16,70,145,,,
Female,19,61,105,About the right weight,,
Male,17,70,175,About the right weight,,
Male,17,68,130,Slightly underweight,,
Male,18,63,128,Slightly overweight,,
Female,17,66,120,Slightly underweight,,
Female,16,63,150,Slightly overweight,,
Female,18,69,170,Slightly overweight,,
Male,16,69,145,About the right weight,,
Male,17,73,180,About the right weight,,
Male,15,64,117,Slightly underweight,,
Female,18,69,155,Slightly overweight,,
Male,18,69,155,About the right weight,,
Male,17,67,115,About the right weight,,
Female,17,64,133,About the right weight,,
Female,17,69,175,Slightly overweight,,
Female,17,64,140,About the right weight,,
Male,16,70,135,About the right weight,,
Female,19,71,-1,Slightly overweight,,
Male,14,66,150,About the right weight,,
Female,18,65,105,Slightly underweight,,
Female,15,66,98,About the right weight,,
Male,19,66,140,About the right weight,,
Male,17,67,130,About the right weight,,
Male,18,75,185,About the right weight,,
Male,15,70,125,Slightly underweight,,
Male,17,67,170,About the right weight,,
Female,18,62,125,About the right weight,,
Male,19,69,160,About the right weight,,
Female,20,60,110,About the right weight,,
Male,16,68,165,Slightly overweight,,
Male,18,74,265,Slightly overweight,,
Male,15,73,155,About the right weight,,
Female,14,63,125,About the right weight,,
Male,19,70,180,Slightly overweight,,
Male,18,68,145,Slightly underweight,,
Male,19,71,200,Slightly overweight,,
Female,15,64,160,Slightly overweight,,
Male,18,72,165,Slightly overweight,,
Female,19,66,210,Slightly overweight,,
Female,18,60,110,About the right weight,,
Female,18,66,187,Very underweight,,
Male,15,71,135,Slightly underweight,,
Female,19,66,160,Slightly overweight,,
Female,16,62,115,About the right weight,,
Male,19,75,300,Slightly overweight,,
Female,15,63,135,About the right weight,,
Female,15,64,121,About the right weight,,
Female,16,63,110,About the right weight,,
Male,16,70,165,About the right weight,,
Female,19,65,240,Very overweight,,
Male,18,69,180,About the right weight,,
Male,17,71,142,About the right weight,,
Female,15,65,138,Slightly overweight,,
Female,15,63,113,About the right weight,,
Female,17,64,210,Slightly overweight,,
Female,14,63,110,Slightly overweight,,
Male,19,76,207,About the right weight,,
Female,18,59,115,Slightly overweight,,
Male,17,75,265,Slightly overweight,,
Female,17,62,115,About the right weight,,
Male,15,76,250,Slightly overweight,,
Female,17,62,130,About the right weight,,
Male,16,62,138,Slightly overweight,,
Female,17,62,135,Slightly overweight,,
Female,16,63,130,About the right weight,,
Male,15,70,245,Slightly overweight,,
Male,17,74,160,Slightly underweight,,
Female,18,68,175,Very overweight,,
Male,15,71,148,About the right weight,,
Female,19,69,150,Very overweight,,
Female,17,66,140,Slightly overweight,,
Male,15,69,150,About the right weight,,
Male,15,66,107,Very underweight,,
Male,17,72,140,Slightly underweight,,
Male,18,70,190,Very overweight,,
Male,17,74,270,Very overweight,,
Female,16,64,110,About the right weight,,
Female,17,64,115,About the right weight,,
Female,15,62,95,Slightly underweight,,
Female,19,60,-2,Very overweight,,
Female,16,61,123,About the right weight,,
Male,15,70,265,Slightly overweight,,
Female,19,61,115,About the right weight,,
Male,17,70,130,Slightly underweight,,
Male,18,69,160,About the right weight,,
Male,15,69,178,Slightly overweight,,
Female,18,67,128,About the right weight,,
Male,16,68,165,Slightly overweight,,
Male,16,72,150,About the right weight,,
Male,16,72,135,Slightly underweight,,
Female,19,63,125,Slightly underweight,,
Male,17,68,130,About the right weight,,
Female,15,64,131,Slightly overweight,,
Female,19,68,190,Slightly overweight,,
Male,16,67,138,Slightly underweight,,
Female,15,69,149,About the right weight,,
Male,19,68,170,About the right weight,,
Female,17,66,127,About the right weight,,
Female,15,62,130,Slightly overweight,,
Female,19,62,115,About the right weight,,
Male,17,67,140,About the right weight,,
Male,16,66,165,About the right weight,,
Male,19,69,180,About the right weight,,
Male,18,70,170,About the right weight,,
Male,16,71,160,About the right weight,,
Female,16,64,126,About the right weight,,
Female,17,63,130,Slightly underweight,,
Male,19,66,130,Slightly underweight,,
Female,15,64,150,Slightly overweight,,
Female,17,64,125,Slightly overweight,,
Male,15,71,180,About the right weight,,
Male,16,69,158,Slightly overweight,,
Male,17,72,194,Slightly overweight,,
Female,19,65,180,Slightly overweight,,
Female,16,67,170,Slightly overweight,,
Male,20,70,190,Slightly overweight,,
Female,18,63,140,About the right weight,,
Male,19,71,200,About the right weight,,
Male,16,66,125,About the right weight,,
Male,15,73,140,About the right weight,,
Female,18,65,170,Slightly overweight,,
Male,18,71,170,Slightly overweight,,
Female,15,64,139,About the right weight,,
Male,18,70,170,About the right weight,,
Male,15,69,130,Slightly underweight,,
Male,16,76,235,About the right weight,,
Male,15,74,160,Slightly underweight,,
Male,19,70,145,About the right weight,,
Male,17,71,180,Slightly overweight,,
Female,18,67,145,Slightly overweight,,
Female,18,68,140,Slightly overweight,,
Male,19,74,230,About the right weight,,
Female,18,69,184,Slightly overweight,,
Male,17,68,140,About the right weight,,
Male,16,73,165,About the right weight,,
Male,16,69,135,Slightly underweight,,
Female,19,65,130,Slightly overweight,,
Female,17,64,124,About the right weight,,
Male,15,69,218,Very overweight,,
Male,18,73,250,Slightly overweight,,
Female,16,64,160,Slightly overweight,,
Male,19,67,145,About the right weight,,
Male,18,74,165,About the right weight,,
Female,18,67,133,About the right weight,,
Male,15,71,145,About the right weight,,
Female,18,66,195,Slightly overweight,,
Male,15,66,100,Slightly underweight,,
Female,19,66,187,Very overweight,,
Female,18,67,140,About the right weight,,
Female,18,65,117,Slightly underweight,,
Female,19,64,120,About the right weight,,
Female,15,66,110,Slightly underweight,,
Male,19,70,165,About the right weight,,
Female,16,64,110,Slightly underweight,,
Male,19,68,180,About the right weight,,
Female,19,63,118,Slightly overweight,,
Male,16,72,280,Slightly overweight,,
Male,16,69,145,About the right weight,,
Male,15,72,150,About the right weight,,
Female,18,67,125,About the right weight,,
Male,15,71,150,About the right weight,,
Female,20,63,125,About the right weight,,
Male,19,76,180,About the right weight,,
Male,17,72,195,About the right weight,,
Female,18,65,136,About the right weight,,
Female,15,62,125,Slightly overweight,,
Female,17,63,105,About the right weight,,
Male,16,61,90,Slightly underweight,,
Male,17,69,150,About the right weight,,
Male,18,71,170,Slightly overweight,,
Male,16,70,135,Slightly underweight,,
Female,19,65,130,About the right weight,,
Male,19,71,290,Very overweight,,
Female,19,65,140,About the right weight,,
Female,17,69,135,About the right weight,,
Male,16,72,137,About the right weight,,
Female,17,63,120,Slightly overweight,,
Female,17,63,98,Slightly underweight,,
Male,15,74,155,Slightly underweight,,
Male,19,65,140,,,
Female,15,64,132,Slightly overweight,,
Female,16,63,145,Slightly overweight,,
Female,17,62,180,Slightly overweight,,
Female,18,61,100,Slightly underweight,,
Male,18,73,175,Slightly underweight,,
Female,18,66,132,About the right weight,,
Male,15,68,126,About the right weight,,
Male,16,71,135,Slightly underweight,,
Male,19,70,130,About the right weight,,
Male,19,71,165,About the right weight,,
Male,16,71,170,About the right weight,,
Male,18,70,140,Slightly underweight,,
Female,19,67,-1,Slightly overweight,,
Female,17,68,174,Slightly overweight,,
Female,18,63,124,About the right weight,,
Male,17,74,150,Slightly underweight,,
Male,15,75,170,About the right weight,,
Male,15,68,200,Slightly overweight,,
Male,16,72,200,Slightly overweight,,
Female,18,68,145,About the right weight,,
Male,15,76,175,Slightly underweight,,
